run_id,task_id,domain,intent_complexity,context_depth,failure_profile,router_name,success,total_turns,wall_events,silent_failures_injected,silent_failures_recovered,total_cost_usd,total_routing_overhead_ms,total_inference_latency_ms,recorded_at_utc
data_lookup:moderate:shallow:none:seed0:static_semantic:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,static_semantic,False,1,0,0,0,0.0,0.22262000129558146,59864.72252800013,2026-06-24T18:45:56.584572+00:00
data_lookup:moderate:shallow:none:seed0:context_aware:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,context_aware,False,1,0,0,0,0.0,3447.8995819954434,1716.5482209966285,2026-06-24T18:46:01.749485+00:00
data_lookup:moderate:shallow:none:seed0:commercial_cloud:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,commercial_cloud,True,8,0,0,0,0.0,0.35735197889152914,195937.1358530043,2026-06-24T18:49:17.690154+00:00
multi_step_calculation:moderate:shallow:none:seed0:static_semantic:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,static_semantic,False,1,0,0,0,0.0,0.29123900458216667,49571.85146398842,2026-06-24T18:50:07.263533+00:00
multi_step_calculation:moderate:shallow:none:seed0:context_aware:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,context_aware,False,1,0,0,0,0.0,1004.8368990101153,2582.0957269897917,2026-06-24T18:50:10.850844+00:00
multi_step_calculation:moderate:shallow:none:seed0:commercial_cloud:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,commercial_cloud,True,8,0,0,0,0.0,0.26131201593670994,185335.95611000783,2026-06-24T18:53:16.188498+00:00
file_edit_simulation:moderate:shallow:none:seed0:static_semantic:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,static_semantic,True,4,0,0,0,0.0,0.20260197925381362,56649.64223599236,2026-06-24T18:54:12.839266+00:00
file_edit_simulation:moderate:shallow:none:seed0:context_aware:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,context_aware,True,8,1,0,0,0.0,3616.2638300011167,193584.22771201003,2026-06-24T18:57:30.041157+00:00
file_edit_simulation:moderate:shallow:none:seed0:commercial_cloud:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,commercial_cloud,True,8,0,0,0,0.0,0.29099198582116514,79010.821769014,2026-06-24T18:58:49.053635+00:00
ambiguous_intent:moderate:shallow:none:seed0:static_semantic:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,static_semantic,True,7,0,0,0,0.0,0.22497000463772565,144183.34346299525,2026-06-24T19:01:13.238555+00:00
ambiguous_intent:moderate:shallow:none:seed0:context_aware:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,context_aware,True,8,0,0,0,0.0,6861.062285985099,126453.589437966,2026-06-24T19:03:26.555051+00:00
ambiguous_intent:moderate:shallow:none:seed0:commercial_cloud:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,commercial_cloud,True,8,0,0,0,0.0,0.23766701633576304,66387.0003609918,2026-06-24T19:04:32.943762+00:00
multi_step_calculation:moderate:near_wall:none:seed0:static_semantic:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,static_semantic,False,8,8,0,0,0.0,0.3528389788698405,1513051.8560600176,2026-06-24T19:29:45.998357+00:00
multi_step_calculation:moderate:near_wall:none:seed0:context_aware:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,context_aware,False,0,0,0,0,0.0,0,0,2026-06-24T19:36:55.201708+00:00
multi_step_calculation:moderate:near_wall:none:seed0:commercial_cloud:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T19:40:55.306047+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:static_semantic:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,static_semantic,False,1,0,0,0,0.0,2.945653992355801,85502.80486000702,2026-06-24T19:42:20.814810+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:context_aware:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,context_aware,False,1,0,0,0,0.0,10032.199993991526,2211.9740869966336,2026-06-24T19:42:33.059866+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:commercial_cloud:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T19:46:33.162731+00:00
