run_id,task_id,domain,intent_complexity,context_depth,failure_profile,router_name,success,total_turns,wall_events,silent_failures_injected,silent_failures_recovered,total_cost_usd,total_routing_overhead_ms,total_inference_latency_ms,recorded_at_utc
data_lookup:moderate:shallow:none:seed0:static_semantic:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,static_semantic,False,1,0,0,0,0.0,0.16498100012540817,57912.02063699893,2026-06-24T18:25:37.065573+00:00
data_lookup:moderate:shallow:none:seed0:context_aware:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,context_aware,False,1,0,0,0,0.0,4627.729853003984,2462.2644820046844,2026-06-24T18:25:44.156117+00:00
data_lookup:moderate:shallow:none:seed0:commercial_cloud:repeat0,data_lookup:moderate:shallow:none:seed0,data_lookup,moderate,shallow,none,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T18:26:44.217118+00:00
multi_step_calculation:moderate:shallow:none:seed0:static_semantic:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,static_semantic,False,0,0,0,0,0.0,0,0,2026-06-24T18:27:44.276655+00:00
multi_step_calculation:moderate:shallow:none:seed0:context_aware:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,context_aware,False,1,0,0,0,0.0,9028.265747998375,9387.930890996358,2026-06-24T18:28:02.693465+00:00
multi_step_calculation:moderate:shallow:none:seed0:commercial_cloud:repeat0,multi_step_calculation:moderate:shallow:none:seed0,multi_step_calculation,moderate,shallow,none,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T18:29:02.752855+00:00
file_edit_simulation:moderate:shallow:none:seed0:static_semantic:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,static_semantic,False,0,0,0,0,0.0,0,0,2026-06-24T18:30:02.812729+00:00
file_edit_simulation:moderate:shallow:none:seed0:context_aware:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,context_aware,True,3,0,0,0,0.0,11445.513529979507,13879.105318002985,2026-06-24T18:30:28.138509+00:00
file_edit_simulation:moderate:shallow:none:seed0:commercial_cloud:repeat0,file_edit_simulation:moderate:shallow:none:seed0,file_edit_simulation,moderate,shallow,none,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T18:31:28.197796+00:00
ambiguous_intent:moderate:shallow:none:seed0:static_semantic:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,static_semantic,False,0,0,0,0,0.0,0,0,2026-06-24T18:32:28.260996+00:00
ambiguous_intent:moderate:shallow:none:seed0:context_aware:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,context_aware,False,0,0,0,0,0.0,0,0,2026-06-24T18:33:29.864906+00:00
ambiguous_intent:moderate:shallow:none:seed0:commercial_cloud:repeat0,ambiguous_intent:moderate:shallow:none:seed0,ambiguous_intent,moderate,shallow,none,commercial_cloud,True,8,0,0,0,0.0,0.33470301423221827,78345.96871702524,2026-06-24T18:34:48.213127+00:00
multi_step_calculation:moderate:near_wall:none:seed0:static_semantic:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,static_semantic,False,0,0,0,0,0.0,0,0,2026-06-24T18:35:48.273336+00:00
multi_step_calculation:moderate:near_wall:none:seed0:context_aware:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,context_aware,False,0,0,0,0,0.0,0,0,2026-06-24T18:36:50.100868+00:00
multi_step_calculation:moderate:near_wall:none:seed0:commercial_cloud:repeat0,multi_step_calculation:moderate:near_wall:none:seed0,multi_step_calculation,moderate,near_wall,none,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T18:37:50.160688+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:static_semantic:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,static_semantic,False,0,0,0,0,0.0,0,0,2026-06-24T18:38:50.220666+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:context_aware:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,context_aware,False,1,0,0,0,0.0,6207.193376001669,22557.33672900533,2026-06-24T18:39:18.986011+00:00
data_lookup:moderate:shallow:single_silent_failure:seed0:commercial_cloud:repeat0,data_lookup:moderate:shallow:single_silent_failure:seed0,data_lookup,moderate,shallow,single_silent_failure,commercial_cloud,False,0,0,0,0,0.0,0,0,2026-06-24T18:40:19.047394+00:00
